subject,n_sizes,size_mu_hat,size_tail_ok,size_tail_reason,size_xmin,size_ks,size_p_boot,n_durations,duration_mean,duration_std,duration_p99
S044,16,1.338057285764312,True,ok,0.0005879526505950826,0.2658610785915797,0.045,26,3.6538461538461537,4.131886398135916,15.0
S045,38,1.3179714322193328,True,ok,0.0009291362670851794,0.2555539694874648,0.0,46,6.695652173913044,6.5037432874139665,25.84999999999998
S046,26,1.294395534335055,True,ok,0.00037868761421919824,0.3173112317716701,0.0,35,4.485714285714286,4.371148450408679,18.93999999999997
S047,19,1.3955559731070788,True,ok,0.00027053125238428867,0.2900563614849176,0.005,25,3.28,3.1179480431848123,14.079999999999984
S048,27,1.5554221966626678,True,ok,0.0007571806821210467,0.2196606466093468,0.02,33,4.393939393939394,4.605263088851605,17.68
S049,19,1.357884041655313,True,ok,0.0005595757968059215,0.29554304257339564,0.015,32,4.28125,4.4597812095998615,15.380000000000003
S050,16,1.4118703353416353,True,ok,0.0013289230354184116,0.2911741799965193,0.005,20,5.9,4.217819341792628,15.859999999999992
S051,74,1.1612672968391788,True,ok,4.598360469167009e-05,0.37340362530953347,0.0,88,6.681818181818182,5.164444559031086,19.129999999999995
S052,21,1.8082392769883278,True,ok,0.0016193376624042146,0.186650474636203,0.13,35,3.142857142857143,3.062611930482655,12.659999999999997
S053,56,1.2597717563371815,True,ok,0.0005591946392448693,0.28119517523394366,0.0,65,7.138461538461539,5.264911199709678,21.439999999999998
S054,22,1.4984612767179217,True,ok,0.001807274123834302,0.16271075288053655,0.24,30,5.466666666666667,5.389702115042063,21.52000000000001
S055,20,1.3431004865492027,True,ok,0.0007997907123504795,0.19537399062810323,0.105,32,3.8125,3.557013318783049,13.070000000000004
S056,14,1.4745911081572671,True,ok,0.0006707582877995785,0.1256878796900283,0.695,19,4.894736842105263,6.197577938127844,23.1
S057,22,1.3830688537904432,True,ok,0.000591645481793308,0.333541465154644,0.0,32,4.34375,4.004757912471114,16.900000000000013
S058,36,1.23722803910829,True,ok,5.994738300391846e-05,0.3358693183199051,0.0,48,4.979166666666667,4.380304324156282,15.530000000000001
S059,18,1.3605113382865686,True,ok,0.00023004816508215872,0.31704318328036124,0.005,27,2.814814814814815,1.9820871348532816,8.0
S060,31,1.3823595691502686,True,ok,0.0005987352755791027,0.3041664214138774,0.0,39,5.564102564102564,4.661874124046569,15.619999999999997
S061,21,1.57647930847617,True,ok,0.0019443785249469727,0.22951705766419173,0.03,31,4.354838709677419,4.8296689734742975,18.899999999999995
S062,50,1.2776667117560545,True,ok,0.000547214066810122,0.23471142801122574,0.0,58,6.793103448275862,5.2645811330570105,19.72
S063,40,1.1838580584492457,True,ok,3.610655246870983e-05,0.34510945485735484,0.0,51,8.549019607843137,7.110648533589815,30.0
S064,11,1.4972564255813043,True,ok,0.0011811363328608428,0.2901114156831145,0.115,18,3.2222222222222223,2.719386277893426,9.0
S065,30,1.6130375439718514,True,ok,0.0018819375402218388,0.13362808757959288,0.305,39,4.897435897435898,5.290508539343379,23.099999999999987
S066,26,1.3449486363794385,True,ok,0.0002971083882339069,0.2985799687875311,0.0,33,4.757575757575758,3.684778707473309,15.079999999999998
S067,33,1.3781183844382103,True,ok,0.0010788034077038387,0.2581438246450056,0.005,43,5.255813953488372,5.322584715944872,22.799999999999983
S068,19,1.4918779064142964,True,ok,0.0014457308488126982,0.18345495772810194,0.215,29,4.724137931034483,5.728913670412916,20.72
S069,15,1.437148189231312,True,ok,0.0004376112399484627,0.2048216182784378,0.225,21,4.095238095238095,4.492371967646002,17.800000000000004
S070,23,1.3493823122433881,True,ok,0.0010393852744892333,0.25596798079088423,0.03,29,6.482758620689655,6.278703411369495,25.359999999999985
S071,22,1.3983996186323822,True,ok,0.0005617726276530384,0.2967088857006045,0.0,35,4.0,3.8987177379235853,17.279999999999973
S072,38,1.3748550450069092,True,ok,0.0017543849809987487,0.29305100502666126,0.0,47,6.212765957446808,4.924693187171895,16.54
S073,25,1.2568480323769693,True,ok,0.00018972181447523276,0.3574311766831283,0.0,29,5.241379310344827,4.223539718373131,15.719999999999999
S074,24,1.3051846477861542,True,ok,0.0004045743208479218,0.3964992640502974,0.0,33,4.878787878787879,4.161567127297671,18.119999999999997
S075,15,1.5317223727536557,True,ok,0.0013587908637156822,0.14717302277012578,0.465,21,4.380952380952381,4.4984250204264935,18.60000000000001
S076,26,1.395534471534641,True,ok,0.0003818179241527693,0.2275689020162056,0.035,33,4.090909090909091,3.2320706972056685,11.36
S077,24,1.2855580619735087,True,ok,0.0001869881531113059,0.2657286120894732,0.02,35,4.4,5.194502588588934,24.279999999999973
S078,74,1.289985332036195,True,ok,0.0008906933845806543,0.2767139285567868,0.0,87,6.551724137931035,5.415513307496366,23.700000000000003
S079,20,1.2313366524753,True,ok,0.00013182571811484671,0.3531053612042193,0.0,26,6.153846153846154,4.9590035265495995,16.5
S080,56,1.207433625923234,True,ok,0.0002859508050283685,0.3610598135704013,0.0,61,8.131147540983607,5.781472413954219,22.79999999999999
S081,13,1.607498551826727,True,ok,0.0019100841755503662,0.19798946252023975,0.235,23,3.782608695652174,3.9886417186712055,15.340000000000003
S082,25,1.4369431954767418,True,ok,0.0005570442323731446,0.21001030751301242,0.035,33,5.545454545454546,6.382223935991748,24.72
S083,21,1.5532908714680564,True,ok,0.001889457139340541,0.18606576987957857,0.15,25,4.76,4.301441618806421,16.79999999999999
S084,25,1.4410034674400714,True,ok,0.0004056928421860311,0.1667230161376727,0.135,41,4.146341463414634,4.50236239133579,19.200000000000003
S085,42,1.3767611568921039,True,ok,0.002368489690531099,0.25809623821589256,0.0,50,7.7,6.524568951279464,27.54999999999999
S086,46,1.2824811491452914,True,ok,0.0006955103700886931,0.3056448232479029,0.0,55,6.672727272727273,5.9484285027974035,26.0
S087,32,1.3699141934441865,True,ok,0.0004794329753549342,0.24908277844170568,0.0,40,5.45,4.300872004605578,17.61
S088,47,1.302733439718154,True,ok,0.0007823279152583195,0.2868665598870287,0.0,60,6.566666666666666,6.738859118739775,29.509999999999962
S089,30,1.4587800789137488,True,ok,0.0013449886982183547,0.2195167776678837,0.005,39,4.0256410256410255,3.084179477693312,12.859999999999992
S090,65,1.2824442704780095,True,ok,0.0009462003839261428,0.30165503862708976,0.0,75,7.693333333333333,5.957568482377876,22.300000000000026
S091,63,1.2128275419223824,True,ok,0.0001989786794136905,0.31318601263849155,0.0,75,6.88,5.240763303183994,19.780000000000015
S092,34,1.3528230089529982,True,ok,0.0006590190754533658,0.39558047269809077,0.0,49,4.224489795918367,3.7594251955473577,16.039999999999992
S093,31,1.352555370072222,True,ok,0.0007443450805668724,0.22070073332929935,0.02,36,7.388888888888889,7.338171804482283,31.09999999999998
S094,27,1.4622465322953606,True,ok,0.0029181609747100023,0.14666466199422423,0.255,35,6.542857142857143,6.530556122207827,26.579999999999956
S095,19,1.47105386818309,True,ok,0.0006429802572490785,0.19452975670054007,0.135,29,3.8275862068965516,3.8869273878515456,16.639999999999986
S096,18,1.4057129426596897,True,ok,0.0004698857754682674,0.25417692541329107,0.02,24,3.9583333333333335,3.3724270027517105,10.77
S097,48,1.3110533403515146,True,ok,0.0016209338112394213,0.2504764911820301,0.0,53,8.981132075471699,6.293124628221633,26.839999999999975
S098,32,1.4964776629877106,True,ok,0.0006156931861903311,0.17436606422886214,0.075,49,4.448979591836735,4.444952305659028,19.239999999999952
S099,27,1.3484709256122593,True,ok,0.000313883419876297,0.37771521410664954,0.0,33,4.212121212121212,3.1213592198346887,13.36
S100,52,1.1792334471715067,True,ok,0.00012435066585942648,0.41135400794050925,0.0,63,7.873015873015873,6.09837882046067,24.420000000000023
S101,21,1.5151589636993026,True,ok,0.001304268180862146,0.1496476269669797,0.31,26,5.961538461538462,5.087547158963202,19.25
S102,27,1.3515684017510736,True,ok,0.000847667892863121,0.28744820274134897,0.005,36,3.9722222222222223,3.1665448319642513,13.599999999999994
S103,28,1.4072873187811699,True,ok,0.00038262782366388283,0.31049837819181364,0.0,38,4.0,2.6257830912139837,10.260000000000005
S104,35,1.4413776383412515,True,ok,0.00042772482741048365,0.2658169567026634,0.0,41,5.0,4.499322442215537,20.000000000000007
S105,30,1.4268135643498319,True,ok,0.0007873704858638747,0.1615742193389943,0.13,41,4.780487804878049,3.809565592813548,15.200000000000003
S106,21,1.6541148241634023,True,ok,0.0029147938247608197,0.13666197363965793,0.4,29,4.344827586206897,3.9937525528044553,14.879999999999995
S107,19,1.6425776608124323,True,ok,0.00155261807579824,0.2045278973797351,0.085,29,4.896551724137931,6.386110075977162,27.47999999999999
S108,31,1.4123619283522166,True,ok,0.0012575851716736715,0.22160891401631477,0.0,36,6.138888888888889,6.712975734342896,26.599999999999994
S109,27,1.415949436792797,True,ok,0.0004933645791493212,0.295970397718052,0.0,39,4.743589743589744,4.8236487344893755,18.239999999999995
